date,BTC,ETH
2020-11-19,-0.2032,-1.5163
2020-11-20,2.7903,7.833
2020-11-21,1.8299,7.9821
2020-11-22,-1.5673,1.5016
2020-11-23,0.2187,8.2622
2020-11-24,2.2318,-0.6846
2020-11-25,1.0581,-6.0706
2020-11-26,-8.9539,-9.1541
2020-11-27,-2.1457,-0.2234
2020-11-28,1.7865,3.6943
2020-11-29,3.7233,6.8329
2020-11-30,5.018,6.78
2020-12-01,1.7592,-5.0334
2020-12-02,-1.5238,2.0071
2020-12-03,1.7416,3.0402
2020-12-04,-1.0104,-8.2637
2020-12-05,-0.6042,5.0269
2020-12-06,0.8425,0.823
2020-12-07,0.3354,-1.7644
2020-12-08,-1.4504,-6.4052
2020-12-09,-3.5332,3.2914
2020-12-10,0.1631,-2.6124
2020-12-11,-1.9873,-2.6008
2020-12-12,2.9839,4.3289
2020-12-13,3.3424,3.8107
2020-12-14,0.2824,-0.7062
2020-12-15,0.9396,0.5061
2020-12-16,3.6862,7.9955
2020-12-17,11.5862,0.8662
2020-12-18,1.3811,1.7224
2020-12-19,2.0697,0.6551
2020-12-20,0.8969,-3.2307
2020-12-21,-1.4582,-4.8367
2020-12-22,-0.5994,4.6988
2020-12-23,1.9171,-8.5025
2020-12-24,-1.3699,4.4618
2020-12-25,3.4536,2.324
2020-12-26,5.0217,1.5212
2020-12-27,6.5847,7.1003
2020-12-28,-0.1601,6.604
2020-12-29,-1.0231,0.2983
2020-12-30,5.4253,2.7719
2020-12-31,2.3253,-2.0066
2021-01-01,1.3897,-0.891
2021-01-02,4.9726,5.8786
2021-01-03,8.5538,23.4073
2021-01-04,-5.0136,6.2644
2021-01-05,1.3504,5.5872
2021-01-06,7.714,9.4124
2021-01-07,8.6477,1.1977
2021-01-08,4.4903,-0.6947
2021-01-09,1.4849,5.0254
2021-01-10,-1.6836,-1.94
2021-01-11,-14.3156,-14.2534
2021-01-12,1.457,-3.7047
2021-01-13,-0.2682,7.4637
2021-01-14,10.2571,8.6471
2021-01-15,-2.8777,-5.169
2021-01-16,-1.5666,4.779
2021-01-17,-3.2275,0.3702
2021-01-18,1.1939,2.0546
2021-01-19,2.2299,8.4424
2021-01-20,-5.055,0.6284
2021-01-21,-6.3382,-21.5424
2021-01-22,-3.287,10.611
2021-01-23,1.6415,-0.1029
