date,EUR,GBP,JPY
1998-12-15,0.2684,0.3921,-0.5849
1998-12-16,0.1699,0.2176,0.1552
1998-12-17,-0.2681,-0.3603,-0.826
1998-12-18,0.2234,-0.003,0.9336
1998-12-19,-0.1811,-0.1099,-0.4743
1998-12-20,0.249,0.0862,-0.2034
1998-12-21,0.4806,0.1308,1.2825
1998-12-22,-0.0604,0.1281,-0.7425
1998-12-23,0.3974,0.2415,0.056
1998-12-24,0.1711,0.0746,-0.0775
1998-12-25,0.0,0.0,0.2238
1998-12-26,-0.0737,-0.006,-0.0215
1998-12-27,0.0597,-0.0477,-0.099
1998-12-28,-0.4102,-0.2445,-0.6434
1998-12-29,-0.1981,0.2534,-0.2125
1998-12-30,0.3429,0.8732,-1.3286
1998-12-31,0.0,0.9662,-0.3393
1999-01-01,0.0,0.4054,0.1632
1999-01-02,-0.4265,-1.2961,-0.1191
1999-01-03,-0.7143,-0.0934,0.1455
1999-01-04,0.051,0.2292,-1.9487
1999-01-05,0.4927,-0.0484,0.948
1999-01-06,0.6323,0.2903,-1.0828
1999-01-07,0.1544,0.56,0.2696
1999-01-08,0.6373,0.1052,-0.5308
1999-01-09,0.0474,0.0395,-0.443
1999-01-10,-0.013,-0.0426,-0.8189
1999-01-11,0.6024,0.6818,2.4011
1999-01-12,-1.6299,-1.1743,0.2183
1999-01-13,0.2871,-0.094,1.1415
1999-01-14,-0.0429,-0.4173,-0.6842
1999-01-15,0.9001,0.4113,1.3157
1999-01-16,-0.0994,0.0635,-0.1093
1999-01-17,-0.2245,-0.233,0.07
1999-01-18,-0.0777,-0.1602,-0.3593
1999-01-19,0.2633,0.3037,-0.3958
1999-01-20,-0.0259,0.1895,-0.5213
1999-01-21,-0.2546,-0.2546,0.737
1999-01-22,0.2071,-0.136,0.7491
1999-01-23,0.0,-0.0544,0.0872
1999-01-24,-0.0691,-0.1811,-0.2969
1999-01-25,0.1554,-0.1025,-0.5877
1999-01-26,0.472,0.3863,0.697
1999-01-27,0.8983,0.3637,1.0689
1999-01-28,0.2325,0.0606,0.4485
1999-01-29,0.2242,0.1126,0.0344
1999-01-30,-0.6098,-0.1613,-0.2994
1999-01-31,0.733,0.2555,-0.4302
1999-02-01,0.2359,-0.137,-2.0574
1999-02-02,-0.1346,0.4937,-0.7235
1999-02-03,0.4908,-0.0031,0.9753
1999-02-04,-0.2435,-0.2776,-0.3978
1999-02-05,0.3234,1.2783,0.2566
1999-02-06,-0.0577,0.1464,-0.1238
1999-02-07,0.3018,-0.8842,0.591
1999-02-08,-0.647,-0.382,0.7971
1999-02-09,-0.0353,0.471,0.457
1999-02-10,0.0574,0.4639,-0.8329
1999-02-11,0.6339,-0.1017,0.1925
1999-02-12,-0.5322,-0.4787,-0.1137
1999-02-13,0.0574,0.0033,-0.2102
1999-02-14,0.488,0.1622,0.8905
1999-02-15,0.5038,-0.0091,2.3536
1999-02-16,-0.437,-0.3123,0.7106
1999-02-17,-0.0623,0.0397,0.8477
1999-02-18,0.6246,0.1438,0.3629
