county,state,bank_share_06,nb_share_07,nb_share_16,d_nb_share_07_16,d_nb_share_07_10,d_nb_share_10_16,nb_growth_07_16,nb_growth_07_10,nb_growth_10_16,total_growth_07_16,total_growth_07_10,total_growth_10_16,bank_growth_07_16,unemp_rate_2002_2006,lfp_rate_2002_2006,est_2002_2006,wage_2002_2006,log_pop,unemp_rate2005,lfp_rate2005,wage2005
1001,01,0.5140845,0.4520548,0.7583643,0.30630952,-0.026312232,0.33262175,1.1284653,-0.42845464,1.5569199,0.6111048,-0.3684861,0.97959083,-0.20763937,-1.5000002,-0.005921304,0.05282113,0.15067501,10.813277,3.8,0.48210403,25.555904
1003,01,0.49824563,0.47325101,0.5989848,0.12573376,-0.020696282,0.14643005,0.87305033,-0.61779773,1.4908481,0.63744015,-0.57308054,1.2105206,0.36471546,-1.8,0.0066348314,0.16836487,0.2241425,11.988974,4.0,0.47713238,27.376736
1005,01,0.4473684,0.518797,0.66519827,0.14640129,-0.010025024,0.15642631,0.7831733,-0.1736635,0.9568368,0.5346009,-0.15415068,0.6887516,0.17185026,-2.0,0.0013370216,0.007246377,0.19373316,10.240924,5.8,0.3839155,25.7649
1007,01,0.4945055,0.4861111,0.6603774,0.17426628,0.08207071,0.09219557,0.6931472,-0.33647224,1.0296195,0.38677296,-0.4924765,0.87924945,-0.027398974,-2.8000002,-0.020917177,-0.034920637,0.15525912,10.000705,4.5,0.40200526,24.38956
1009,01,0.539823,0.42741936,0.63243246,0.2050131,0.19022769,0.014785409,0.79188204,-0.2326223,1.0245043,0.40007427,-0.6007739,1.0008482,-0.043172173,-2.2,-0.007660657,0.015804598,0.2066423,10.908229,3.6,0.48414615,25.287346
1011,01,0.5277778,0.56,0.6585366,0.09853661,-0.24181819,0.3403548,0.6567795,-0.6931472,1.3499267,0.49469623,-0.12783337,0.6225296,0.24116206,-1.3000002,-0.0008973181,-0.11510792,0.07238198,9.30665,9.5,0.34029606,22.83051
1013,01,0.65957445,0.33684212,0.48351648,0.14667436,0.03815788,0.108516484,0.31845373,-0.16989903,0.48835278,-0.043017384,-0.27721077,0.23419338,-0.29298714,-2.2000003,0.0042625666,0.0060728746,0.08448184,9.94415,6.5,0.4387422,22.980389
1015,01,0.5614618,0.45081967,0.6916221,0.2408024,0.081290424,0.15951198,0.85505986,-0.35235527,1.2074151,0.42708758,-0.5181383,0.94522583,-0.15001331,-1.9000001,0.0031168163,-0.008171206,0.108957,11.648129,4.5,0.47131738,26.716133
1017,01,0.44339624,0.43939394,0.47826087,0.038866937,0.017127812,0.021739125,0.12921174,-1.0159205,1.1451323,0.044451762,-1.0379877,1.0986123,-0.027398974,-0.8999996,-0.026395291,0.0,0.029710146,10.471044,5.7,0.46353355,26.949968
1019,01,0.57954544,0.45333335,0.590604,0.13727066,0.12561402,0.011656642,0.9509763,-0.029852964,0.98082924,0.6864582,-0.27443683,0.96089506,0.3973018,-0.5,-0.0080239475,0.033707865,0.05535023,10.127871,4.4,0.48116335,22.929775
1021,01,0.5033557,0.53296703,0.7044335,0.17146647,0.0765568,0.09490967,0.38813365,-0.4158279,0.8039616,0.10919929,-0.5500463,0.6592456,-0.3483067,-1.5,-0.009484857,-0.0025673942,0.115963854,10.644138,3.9,0.4690316,24.390383
1023,01,0.42528737,0.53424656,0.60305345,0.06880689,0.04267651,0.026130378,0.7058862,0.14310084,0.5627854,0.5847379,0.066249385,0.51848847,0.4248832,-3.2000003,-0.0036675632,-0.064935066,0.15028298,9.585003,6.6,0.36438638,40.65
1025,01,0.5575221,0.3814433,0.591133,0.2096897,0.1324456,0.0772441,1.1765739,0.0,1.1765739,0.738495,-0.29804486,1.0365399,0.32449603,-2.9000006,-0.009558797,0.0014513788,0.09325705,10.194813,6.4,0.37834406,25.227068
1027,01,0.5531915,0.43589744,0.4642857,0.028388262,0.24057314,-0.21218488,0.8303483,0.30228087,0.5280674,0.7672551,-0.13720112,0.90445626,0.71562004,-1.6999998,0.00881958,-0.06779661,0.45529047,9.552298,5.0,0.42267528,24.537138
1029,01,0.50769234,0.45901638,0.57281554,0.113799155,0.11993098,-0.006131828,0.74533296,-0.93430924,1.6796422,0.52385515,-1.0379877,1.6436293,0.2876821,-1.5,-0.013229281,0.02793296,-0.025656827,9.572759,3.9,0.46346048,24.264128
1031,01,0.5837838,0.42236024,0.65889215,0.23653191,0.085973084,0.15055883,1.2010273,0.58451337,0.61651397,0.7563261,0.39923456,0.35709152,0.22957444,-1.4999998,0.008250564,0.057142857,0.15875012,10.727751,3.9,0.44083852,23.021065
1033,01,0.6651584,0.26970956,0.5472155,0.27750596,0.11625534,0.16125062,1.2461478,0.015267472,1.2308803,0.53865063,-0.3431334,0.881784,0.06062462,-3.6000004,0.0072100163,-0.032428358,0.19656098,10.903365,5.4,0.4591696,28.295696
1035,01,0.578125,0.40425533,0.42105263,0.016797304,-0.07092199,0.08771929,0.5212969,-0.5465437,1.0678406,0.48058572,-0.35364005,0.8342258,0.45198512,-2.5,0.002287805,-0.012711864,0.13571383,9.504576,6.2,0.38655838,28.23288
1037,01,0.2857143,0.6363636,0.83928573,0.2029221,-0.26136363,0.46428573,1.2110903,-1.3217559,1.89712,0.93430924,-1.011601,1.6436293,0.11778303,-3.7000003,-0.022743523,-0.027272727,0.2248283,9.347229,5.0,0.4266155,27.66486
1039,01,0.47619048,0.55487806,0.5362319,-0.01864618,-0.070503056,0.051856875,0.1986707,-0.3837251,0.5823958,0.23285237,-0.24783616,0.48068854,0.27388874,-2.0,-0.0040106773,0.005586592,0.048078176,10.524172,4.5,0.45513922,24.75281
1041,01,0.54761904,0.33333334,0.63559324,0.3022599,0.08920187,0.21305802,0.91629076,0.0,0.91629076,0.27087495,-0.2371298,0.5080047,-0.33314446,-2.1,0.047788024,-0.08888889,0.12042246,9.525078,4.9,0.4515658,25.481993
1043,01,0.5555556,0.4273743,0.5480226,0.120648324,0.021964908,0.09868342,0.6428853,-0.4054651,1.0483505,0.39422902,-0.45558298,0.84981203,0.15762894,-2.6,0.008283228,0.0548926,0.15172455,11.273296,4.0,0.48917297,27.191872
1045,01,0.5534591,0.5488722,0.7020548,0.15318263,-0.0602358,0.21341842,1.0325506,-0.5292593,1.5618099,0.78640467,-0.41301233,1.199417,0.37156355,-1.0,0.00695768,0.028151775,0.499936,10.800595,4.5,0.41117227,32.680946
1047,01,0.63013697,0.3148148,0.79636365,0.48154885,0.1851852,0.29636365,1.4572461,-0.37647757,1.8337237,0.52917475,-0.8391011,1.3682759,-0.68417853,-3.1999998,-0.018816292,-0.008791209,0.07528886,10.70176,8.6,0.36024216,29.215158
1049,01,0.5910653,0.4085603,0.676,0.2674397,0.043246925,0.22419277,1.1690855,-0.33647224,1.5055578,0.665532,-0.4370883,1.1026204,0.063715816,-0.9000001,-0.031916857,-0.04520222,0.0650081,11.124229,5.1,0.460793,25.32068
1051,01,0.6292517,0.3809524,0.471564,0.09061161,-0.012820512,0.10343212,0.6489139,-0.43969828,1.0886122,0.43553352,-0.4054651,0.84099865,0.27727306,-1.4000001,0.00601992,0.11406844,0.11465199,11.197913,3.7,0.47203267,25.193623
1053,01,0.4784946,0.58285713,0.52112675,-0.061730385,-0.13146824,0.06973785,0.08455739,-0.45058554,0.53514296,0.19650619,-0.19497268,0.39147887,0.33451337,-3.6999998,-0.011335105,0.00486618,0.051543847,10.534786,5.6,0.3810803,26.81498
1055,01,0.5662252,0.46325877,0.60952383,0.14626506,0.039359003,0.10690606,0.79158723,-0.41238555,1.2039728,0.51719505,-0.49392977,1.0111248,0.199046,-2.2000003,-0.0059584677,0.005062126,0.11347098,11.544172,4.7,0.45323434,26.080297
1057,01,0.64912283,0.43076923,0.54385966,0.113090426,0.069230765,0.04385966,0.79492986,-0.2876821,1.0826119,0.56181115,-0.43671766,0.99852884,0.3403258,-4.3,0.0046338737,-0.034188036,0.2442966,9.799792,4.5,0.43738213,26.356865
1059,01,0.6701031,0.28846154,0.57575756,0.28729603,0.12820512,0.1590909,1.3350011,0.0,1.3350011,0.64387614,-0.36772478,1.011601,0.1267517,-6.6,0.004668236,0.04347826,0.04589014,10.34071,5.3,0.44526607,24.340786
1061,01,0.69902915,0.30147058,0.6269231,0.3254525,0.15852943,0.16692308,1.3801781,0.52053446,0.8596437,0.64802676,0.09798041,0.5500463,0.020834086,-1.1000001,-0.012420505,-0.028455285,0.17861137,10.16539,3.9,0.4474373,21.255781
1063,01,0.6097561,0.74712646,0.6888889,-0.058237553,-0.3304598,0.27222225,-0.7404001,-1.3217559,1.8245493,-0.6592456,-1.0379877,1.3217559,-0.45198512,-2.9,0.006345153,-0.045801528,0.09401103,9.1773,6.7,0.3572093,21.46369
1065,01,0.45901638,0.4262295,0.63709676,0.21086726,0.1337705,0.07709676,1.1113514,0.074107975,1.0372434,0.7094077,-0.19885086,0.90825856,0.25131443,-3.0999994,0.03051427,0.0,0.14128454,9.718482,5.4,0.42431718,23.731136
1067,01,0.71040726,0.31428573,0.53962266,0.22533694,0.24735811,-0.022021174,0.95551145,-0.2937611,1.2492726,0.41494384,-0.8743265,1.2892704,0.016529301,-2.0,-0.01508075,0.012084592,0.18443944,9.726273,4.3,0.4458572,28.3242
1069,01,0.5838641,0.40039447,0.6631579,0.2627634,0.044410735,0.21835268,1.0271534,-0.39322504,1.4203783,0.52259046,-0.4984112,1.0210017,-0.05406722,-1.2999997,-0.01032576,0.044770774,0.10750271,11.450018,3.8,0.49095345,29.625458
1071,01,0.6359447,0.3251029,0.47420147,0.14909858,0.022414833,0.12668374,0.89324236,-0.47762755,1.3708699,0.5157517,-0.54430157,1.0600533,0.2661096,-2.5,0.0075740814,0.0034207525,0.04720057,10.884292,5.0,0.50206256,26.92049
1073,01,0.5396185,0.48459715,0.6413775,0.15678036,-0.03459716,0.19137752,0.70247597,-0.49626225,1.1987382,0.42217568,-0.4221919,0.84436756,0.0594971,-1.1999998,-0.0069766045,0.013930121,0.15365571,13.392267,4.4,0.48457748,39.42244
1075,01,0.62025315,0.4642857,0.45454547,-0.009740233,0.007936507,-0.01767674,0.025317809,-0.8303483,0.8556661,0.046520017,-0.84729785,0.8938179,0.06453852,-3.1999998,-0.04279697,-0.093103446,0.19176756,9.6164055,5.6,0.40855488,29.479263
1077,01,0.7425743,0.28818443,0.5461847,0.25800028,0.12019253,0.13780776,1.0006319,-0.24846137,1.2490933,0.3612753,-0.5970513,0.95832664,-0.08885334,-4.4000006,-0.0072359443,0.013506753,0.0099974675,11.400406,5.1,0.4707245,22.371805
1079,01,0.4903846,0.44705883,0.6903226,0.24326375,0.17058823,0.072675526,1.0352427,0.100083455,0.9351592,0.6007739,-0.22314355,0.8239174,0.02105341,-2.0,-0.004062921,0.009501188,-0.0076668966,10.446829,5.6,0.4640337,33.159218
1081,01,0.51532036,0.47948164,0.66394556,0.18446392,-0.0063272715,0.19079119,0.787638,-0.4539175,1.2415556,0.46214345,-0.44063357,0.902777,0.024591403,-1.1999998,0.0014724731,0.11458835,0.13056618,11.745092,3.7,0.5036747,24.86778
1083,01,0.48953974,0.44588745,0.655481,0.20959353,0.036670685,0.17292285,1.0454437,-0.21588838,1.261332,0.6601409,-0.29492325,0.9550641,0.18492234,-1.6000001,-0.0039289594,0.09026549,-0.051942103,11.174694,4.4,0.49258798,29.179426
1085,01,0.7,0.5074627,0.80487806,0.29741538,0.2030636,0.09435177,0.6632942,-0.23052366,0.8938179,0.20202662,-0.5671065,0.7691331,-0.72391886,-1.2999997,0.016744733,-0.04054054,0.059637047,9.42521,8.0,0.3994515,36.48129
1087,01,0.59375,0.516129,0.88990825,0.37377924,0.04908836,0.32469088,1.5542383,-0.20763937,1.89712,1.2074151,-0.298493,1.5558537,-0.22314355,-1.0999999,0.025680333,-0.008695652,-0.0021843135,10.01628,5.9,0.38882437,29.089369
1089,01,0.5272353,0.41415012,0.65491045,0.24076033,0.0051207244,0.2356396,0.9221071,-0.39923456,1.3213416,0.46383712,-0.4115231,0.87536025,-0.065422565,-1.3,-0.0015136003,0.07362712,0.124789536,12.616439,3.6,0.5266358,38.024765
1091,01,0.64935064,0.40384614,0.44607842,0.042232275,-0.09502262,0.1372549,0.36772478,-0.4054651,0.7731899,0.268264,-0.13720112,0.4054651,0.19478832,-1.8000002,-0.004917413,-0.02131783,0.10184696,9.982668,5.7,0.39740393,27.641237
1093,01,0.6666667,0.37168142,0.496,0.12431857,0.072763026,0.051555544,0.38946477,-0.15415068,0.54361546,0.100925915,-0.33293867,0.4338646,-0.119545154,-4.2999997,0.02554807,-0.012455516,0.029057506,10.325285,4.5,0.4438906,28.677574
1095,01,0.5659824,0.41129032,0.61129034,0.20000002,0.06902465,0.13097537,0.9070983,-0.22641687,1.1335151,0.51082563,-0.38155958,0.8923852,0.0957252,-2.4,-0.0076113045,-0.0036477332,0.16544257,11.368085,3.9,0.48492765,24.25952
1097,01,0.50921273,0.46747354,0.70032424,0.2328507,0.008254617,0.22459608,0.8947001,-0.45522663,1.3499267,0.4904994,-0.4727305,0.9632299,-0.08443206,-2.3000002,-0.0038735867,0.014202993,0.22142377,12.889644,5.0,0.455299,32.165985
1099,01,0.7125,0.33333334,0.4526316,0.11929825,0.074433655,0.044864595,0.7654678,0.048790164,0.71667767,0.45953232,-0.15276276,0.6122951,0.26236427,-2.3999996,-0.009120643,0.004640371,0.16029587,10.072513,6.2,0.40480512,33.36218
1101,01,0.61694056,0.36213017,0.6924198,0.33028966,0.008105755,0.3221839,1.1328769,-0.4054651,1.538342,0.4846882,-0.4276018,0.91229,-0.24471025,-1.1000004,-0.00030764937,0.032872554,0.1464773,12.31765,4.6,0.47023362,32.819042
1103,01,0.55474454,0.41851106,0.58643615,0.16792509,0.059906214,0.108018875,0.7515068,-0.44718894,1.1986958,0.4141463,-0.5809689,0.9951152,0.073366225,-2.4,-0.010974318,0.0,0.15771335,11.643638,4.5,0.48875085,31.099829
1105,01,0.44,0.5625,0.475,-0.087500006,-0.0024999976,-0.08500001,0.7472144,0.44183275,0.30538166,0.91629076,0.4462871,0.47000363,1.0986123,-3.4000006,0.002759695,-0.038961038,0.15098958,9.294773,9.1,0.32506204,21.824541
1107,01,0.33684212,0.66,0.6388889,-0.02111113,-0.16000003,0.1388889,0.73759896,-0.16430305,0.901902,0.7701082,0.11332869,0.6567795,0.8303483,-3.1,0.0071980357,-0.050445102,0.057410337,9.913042,5.4,0.39421552,22.518894
1109,01,0.6055046,0.4519774,0.55813956,0.10616216,0.058660895,0.047501266,0.74193734,-0.105360515,0.84729785,0.53096056,-0.22738984,0.7583504,0.31563815,-2.0,0.022804618,0.0076804915,0.099024065,10.33436,4.1,0.4878786,25.093374
1111,01,0.5185185,0.42168674,0.54477614,0.1230894,-0.06983489,0.19292429,0.73511136,-0.6109091,1.3460205,0.4789992,-0.42985657,0.90885574,0.23967285,-1.5,-0.0010381639,0.0625,0.086945295,10.028268,6.2,0.4335334,20.147053
1113,01,0.47191012,0.44791666,0.6315789,0.18366227,0.22555271,-0.041890442,0.8031481,-0.26469254,1.0678406,0.45953232,-0.6725279,1.1320602,0.055059776,-1.0999999,-0.008075982,0.049940545,0.15382499,10.8143835,6.0,0.43234602,24.038393
1115,01,0.5412844,0.5048544,0.6929348,0.18808043,0.074092984,0.113987446,0.89687264,-0.6370577,1.5339303,0.58020675,-0.7739993,1.3542061,0.102415,-1.5999999,-0.013161004,0.06321335,0.08602627,11.192665,4.0,0.46490166,26.266125
1117,01,0.5827011,0.4190193,0.5137957,0.09477636,-0.052877575,0.14765394,0.8933342,-0.4161604,1.3094946,0.6894255,-0.2812639,0.9706894,0.511337,-0.79999995,-0.0062095523,0.16103576,0.121817134,12.053452,3.1,0.5515665,37.059277
1119,01,0.43548387,0.61764705,0.64705884,0.029411793,-0.10040569,0.12981749,1.1451323,-0.33647224,1.4816046,1.0986123,-0.1590647,1.257677,1.0185696,-2.1999998,-0.013979793,-0.05394191,0.31414473,9.556975,7.3,0.34398642,27.202284
1121,01,0.562753,0.48790324,0.7531486,0.26524538,0.08352536,0.18172002,0.904653,-0.27400196,1.178655,0.47050753,-0.4320244,0.9025319,-0.25921962,-2.2000003,0.021306187,0.032786883,0.020045962,11.308923,4.8,0.48664558,31.449125
1123,01,0.57746476,0.50364965,0.6704981,0.16684842,-0.060611665,0.22746009,0.93067944,-0.67875844,1.609438,0.6445395,-0.55053306,1.1950725,0.23483959,-2.8000002,-0.010073036,0.054862842,0.09837151,10.617833,4.5,0.45492816,26.160666
1125,01,0.5674487,0.464191,0.68035716,0.21616617,-0.007926226,0.2240924,0.7780134,-0.595243,1.3732563,0.3956916,-0.5780202,0.9737118,-0.12088189,-1.3,-0.002612859,0.027826967,0.19218455,12.07671,3.7,0.48261264,33.51019
1127,01,0.6139535,0.38429752,0.5875,0.20320246,0.036755115,0.16644734,0.70384246,-0.5072478,1.2110903,0.27938327,-0.5985886,0.8779719,-0.121144384,-1.7000003,-0.0019585192,0.032187272,0.12606616,11.134589,4.4,0.43462774,27.352783
