year,county,nonbank_loans,bank_loans
2006,1001,69.0,73.0
2007,1001,66.0,80.0
2008,1001,65.0,66.0
2009,1001,68.0,67.0
2010,1001,43.0,58.0
2011,1001,63.0,77.0
2012,1001,83.0,79.0
2013,1001,88.0,64.0
2014,1001,95.0,89.0
2015,1001,95.0,91.0
2016,1001,204.0,65.0
2006,1003,429.0,426.0
2007,1003,345.0,384.0
2008,1003,264.0,363.0
2009,1003,229.0,329.0
2010,1003,186.0,225.0
2011,1003,237.0,379.0
2012,1003,299.0,412.0
2013,1003,403.0,420.0
2014,1003,466.0,478.0
2015,1003,558.0,556.0
2016,1003,826.0,553.0
2006,1005,84.0,68.0
2007,1005,69.0,64.0
2008,1005,43.0,67.0
2009,1005,56.0,67.0
2010,1005,58.0,56.0
2011,1005,41.0,80.0
2012,1005,71.0,67.0
2013,1005,115.0,62.0
2014,1005,104.0,68.0
2015,1005,85.0,81.0
2016,1005,151.0,76.0
2006,1007,46.0,45.0
2007,1007,35.0,37.0
2008,1007,18.0,34.0
2009,1007,33.0,31.0
2010,1007,25.0,19.0
2011,1007,40.0,31.0
2012,1007,64.0,43.0
2013,1007,68.0,41.0
2014,1007,56.0,39.0
2015,1007,71.0,40.0
2016,1007,70.0,36.0
2006,1009,52.0,61.0
2007,1009,53.0,71.0
2008,1009,50.0,49.0
2009,1009,29.0,55.0
2010,1009,42.0,26.0
2011,1009,49.0,55.0
2012,1009,83.0,53.0
2013,1009,81.0,68.0
2014,1009,88.0,63.0
2015,1009,98.0,62.0
2016,1009,117.0,68.0
2006,1011,17.0,19.0
2007,1011,14.0,11.0
2008,1011,10.0,11.0
2009,1011,11.0,12.0
2010,1011,7.0,15.0
2011,1011,15.0,11.0
2012,1011,17.0,6.0
2013,1011,20.0,12.0
2014,1011,20.0,4.0
2015,1011,23.0,12.0
2016,1011,27.0,14.0
2006,1013,32.0,62.0
2007,1013,32.0,63.0
2008,1013,31.0,59.0
2009,1013,40.0,37.0
2010,1013,27.0,45.0
2011,1013,29.0,59.0
2012,1013,40.0,59.0
2013,1013,46.0,48.0
2014,1013,56.0,54.0
2015,1013,42.0,63.0
2016,1013,44.0,47.0
2006,1015,132.0,169.0
2007,1015,165.0,201.0
2008,1015,130.0,187.0
2009,1015,148.0,159.0
2010,1015,116.0,102.0
2011,1015,194.0,148.0
2012,1015,196.0,136.0
2013,1015,191.0,138.0
2014,1015,235.0,168.0
2015,1015,228.0,150.0
2016,1015,388.0,173.0
2006,1017,59.0,47.0
2007,1017,58.0,74.0
2008,1017,35.0,49.0
2009,1017,27.0,33.0
2010,1017,21.0,25.0
2011,1017,23.0,37.0
2012,1017,37.0,39.0
2013,1017,46.0,61.0
2014,1017,61.0,51.0
2015,1017,70.0,45.0
2016,1017,66.0,72.0
2006,1019,37.0,51.0
2007,1019,34.0,41.0
2008,1019,30.0,30.0
2009,1019,40.0,39.0
2010,1019,33.0,24.0
2011,1019,39.0,33.0
2012,1019,52.0,57.0
2013,1019,54.0,62.0
2014,1019,79.0,44.0
2015,1019,52.0,52.0
2016,1019,88.0,61.0
2006,1021,74.0,75.0
2007,1021,97.0,85.0
2008,1021,72.0,58.0
2009,1021,78.0,61.0
2010,1021,64.0,41.0
2011,1021,84.0,86.0
2012,1021,87.0,61.0
2013,1021,120.0,76.0
2014,1021,117.0,66.0
2015,1021,101.0,76.0
2016,1021,143.0,60.0
2006,1023,50.0,37.0
2007,1023,39.0,34.0
2008,1023,41.0,29.0
2009,1023,40.0,30.0
