date_serial,ABT,BP,CL,EK,FDX,KO,WMT,PEP,PG,WYE
2447223,-0.714081969,1.869213301,-0.273017006,0.569802111,0,0.653511671,0.409417153,-0.366869326,-2.583997715,0.47613171
2447224,-0.25089273,-0.466201311,0.87972659,-1.142869582,0.566573754,-0.339293031,1.680711832,1.051594173,0.450204569,0
2447225,0.252109122,0.466201311,3.953794408,-0.576370472,1.126899462,-0.655740055,0,1.051594173,0.767235542,1.409264453
2447228,-0.252109122,2.973857752,-0.559565589,0.576370472,4.932506656,-0.660068403,0.399202127,0,-0.148038517,0
2447229,-1.970507108,0.440490537,0.559565589,0.298404904,-0.258398077,1.307208157,0.823049914,1.055193022,1.840542754,0.617285911
2447230,0.239091566,-0.664454272,-0.857612827,-1.733947037,1.078293821,0,0,-1.428595725,-0.771259256,0.914696298
2447231,-1.771026366,2.725237618,-2.571613502,-1.764544077,-1.6349138,-0.651468102,-3.726312688,-1.44930073,-1.860634178,-1.837836585
2447232,-2.326883527,0.626134852,0.851845735,-0.906062469,0.574587216,-0.31421864,-0.437932315,1.111447534,0,-1.390290517
2447235,0.516797016,-0.836824967,0.300752106,3.509131981,0,1.633641932,0.437932315,2.150620522,1.713050828,0
2447236,0,-0.218249058,0,-0.579711768,0.557104505,-0.98217383,0.836824967,0.370740479,-0.615386557,-0.312012734
2447237,0.247729276,0.201884322,1.686786981,0,-0.267022856,0.975868042,0.836824967,0.339847396,0.148957326,0.931741631
2447238,0.772518581,-0.623790272,0,0,1.126899462,1.892800989,0.83347707,0,-0.161120441,1.05538676
2447239,0.739042613,1.23712918,0.296560122,-1.452356285,0.573067471,-0.626961301,-2.489755162,-1.418463499,0.611622702,-2.111692344
2447242,1.010109599,0,-2.252685736,-0.595168999,2.259983192,-0.935176789,-0.858374369,-0.695654979,0.159636554,-0.147130973
2447243,-0.506330196,-0.616001282,0,-0.59873248,2.197890672,0.632833399,1.267791522,0.722024797,0.147130973,-0.147130973
2447244,-2.288616439,0.616001282,2.289256599,0.287839009,2.695580999,0.30234339,0,0,-0.160622756,0.771259256
2447245,-0.250313022,0,-0.575497575,-0.922560561,-1.617285925,-0.969642708,-1.702458551,0,-0.47613171,-1.702483755
2447246,-2.91107351,-0.653035488,-1.667697972,-1.227009259,3.208831455,-1.602515555,-2.609297451,-1.107560141,-2.240093669,-1.751091565
2447249,0.539084863,1.284814248,-0.304229015,0.320473589,0,-0.653511671,1.76995771,1.494533313,2.572489124,-0.16680571
2447250,0.533334598,1.268515953,0,1.514440278,-1.600034135,1.947860572,-0.453199312,0,-0.483707664,0.486805983
2447251,-1.313856577,-0.644725681,-1.442406472,-1.219527309,-1.078293821,-0.98217383,-1.754430965,-0.370740479,-0.638001399,-0.640043148
2447252,0.534703445,0.626430559,0.27782083,0,1.083903957,-0.651468102,-1.342302033,0.716848948,-0.320533642,-1.127173947
2447256,0.259796639,-0.203596949,-2.353049741,-1.234583582,-0.542006747,-0.341521414,-1.336483682,-1.070457206,-0.477821016,-2.636240712
2447257,1.61276477,0,-1.185341445,1.234583582,2.150620522,0.341521414,0,1.070457206,0.810971813,0.507954574
2447258,1.587166954,0.424629088,3.545469391,3.922071315,5.38228067,2.256027226,2.643325707,3.149866706,3.464913541,0.492120432
2447259,2.863860382,0,0.307787254,-1.497710154,-1.025650017,-1.941808586,0,-0.357979179,-0.474644908,-0.501254182
2447260,3.015303817,1.038709289,0.889985927,0.597016699,1.297248708,0.651468102,2.133597797,0,1.857638557,0.832402243
2447263,0,1.432316153,0,0.309045771,0.527920008,1.929320293,0,0,-0.158179749,0.974096929
2447264,0.497463965,-0.618491555,-0.276200881,0.591647685,0.264308378,1.592350087,1.285538678,0.327064887,1.656928516,3.666398437
2447265,-0.258372399,1.217053562,0.861808966,0.588167794,-1.023131495,0.300450902,1.680711832,0.682596507,-0.14491006,0.621120009
2447266,-1.542447033,-1.009123147,-4.51587062,-4.834193996,-3.72235488,-4.227259752,-3.509131981,-2.817087697,-3.940838508,-0.950878797
2447267,-0.522194398,0.406471578,-0.616184859,0.296736123,2.168341675,1.001589817,2.255330961,0.370740479,0.15226497,0.634922768
2447270,-1.047129987,-0.189155164,-1.243878558,-0.619197025,0.805490368,-0.978455512,-1.366436219,-1.443859909,-0.320533642,-0.956945102
2447271,-2.92455681,-0.790517951,0,0.322460902,-1.083903957,-1.014965978,0,-1.849458264,-1.454617912,-0.969312921
2447272,-1.878496347,-0.591386683,0.326797676,-0.945515877,-1.936680249,-0.673403218,-0.473848162,0.35885206,-0.978800637,0
2447273,-1.926082742,0,-1.272655454,0.945515877,1.102060967,0.671053384,0.904983552,-0.711114108,-0.988475923,0.494728258
2447274,0.542006747,-1.214491488,-0.326797676,0.296736123,4.038349418,1.328746629,3.108692575,2.9013024,1.634130095,0.155219278
2447277,1.874788614,0.196915062,-0.616184859,0.928194256,0.252313002,2.289381987,-0.873367997,2.472770585,1.116326471,0.167342512
2447278,0.76979471,1.619468592,0.324781058,0.291333054,-1.313856577,-0.98217383,-0.461239065,1.393945069,0.956945102,0.794265001
2447279,-1.829126997,0,1.22859612,-0.607904608,-2.150620522,-0.651468102,-0.427655677,0,-1.436130675,0.80321717
2447280,-0.536194314,0.404040954,5.938030122,-0.90653567,-0.281476856,0.339293031,-1.80185055,-1.765493524,0.320000273,0.152749521
2447281,-1.630293689,-0.613498857,0,0.294912969,0,-0.339293031,0.469569221,-1.087589427,-1.773597449,-0.794265001
2447284,0.80321717,-0.196915062,-1.134002006,2.424361161,1.338823712,0.651468102,0.896866998,0.370740479,-0.651468102,-0.32206147
2447285,-0.822693534,0.816331064,0,0.906062469,-1.338823712,0.98217383,-0.893022545,0,0.969312921,0.645163528
2447286,-0.807600155,-0.415801015,-1.160318362,-0.595168999,-2.203703105,-1.298719553,-2.275698712,-1.438873745,-2.43074293,-1.13828677
2447287,-0.816511212,0,-0.278508613,0.286123228,0,-1.315808458,-1.361065705,0,-1.160809763,-1.970636551
2447288,-2.52161079,0.215535191,-1.782132518,-0.884855708,-1.403055377,-2.331607701,0,-1.826803896,-0.998344398,-2.34925899
2447291,0.855090719,-0.198544076,0.318877821,0,-0.569802111,-0.353117303,-0.447594929,0,-0.671143459,0.863788191
2447292,-1.69018108,0.197726214,2.415046023,1.193901478,-0.859928359,0.677968699,-0.482644338,0.387308692,-0.160944241,0
2447293,-1.427280214,-0.199368732,0,-2.416744011,-1.149437943,-0.327064887,-1.896150856,-0.35885206,-1.8760746,-1.884901371
2447294,-0.301869497,-0.216432283,0.31407061,0.293112081,-0.558140984,0.327064887,1.444342858,1.0984228,-0.178240947,-1.388911216
2447295,1.149437943,0.41318958,0.592363385,0.895564499,-0.890144083,0.350735554,-0.487166038,2.197890672,1.360565206,1.554291629
2447298,1.680711832,0.214645505,-0.588875094,1.791092657,1.749315745,0.322667664,0.447594929,0.347222571,0.174064448,0.520121621
2447299,-2.222313678,-1.034376924,-1.489785468,-1.791092657,-1.452356285,-2.033968424,-2.291304971,-2.181904739,-1.857138559,-1.891407251
2447300,-1.974420204,-1.694955831,-2.709680591,-0.895564499,-1.791092657,-2.777956411,0.491773263,-1.833828379,-2.232727809,-0.700577336
2447301,0,0.851068967,0,0.291333054,0.600602406,0.701757266,3.31355616,2.239233731,0.860399424,0
2447302,-0.569802111,-0.220096593,0.916422909,-0.607904608,-2.117499714,0.362976805,2.765153133,-0.711114108,-1.721212888,-0.351494211
2447305,-0.854212743,-0.204464205,-1.195358681,-0.90653567,-0.293112081,-1.771450793,-2.739897419,-1.136375865,0.692044284,0.536648654
2447306,0.84931074,1.047483813,1.835494568,0.928194256,0.903878146,1.072245036,1.417405304,1.102349908,0.505569158,0.521605468
2447307,0.295018936,-0.421053254,0.590522307,-0.928194256,-2.80311048,0.699205757,0.443459707,1.470614739,-0.675678246,-0.182622794
2447308,3.625369055,-1.051926904,-0.310366481,0.318510621,-1.265839687,1.025934411,0.917605998,1.107560141,-0.857906807,0.351494211
